constructorStandingsId,raceId,name,points,position,positionText,wins
20075,710,Cooper-Climax,2.0,5,5,0
20074,710,Lotus-BRM,3.0,4,4,0
19801,719,Porsche,0.0,11,11,0
19799,719,Scirocco,0.0,9,9,0
19798,719,ATS,0.0,8,8,0
19795,719,Lotus-BRM,0.0,5,5,0
19794,719,Lotus-Climax,1.0,4,4,0
19793,719,Ferrari,3.0,3,3,0
19792,719,Cooper-Climax,4.0,2,2,0
20073,710,Brabham-Climax,1.0,6,6,0
20072,710,Ferrari,6.0,3,3,0
20066,709,Lotus-BRM,1.0,4,4,0
19812,720,De Tomaso,0.0,12,12,0
19811,720,BRP,0.0,11,11,0
19809,720,Porsche,1.0,6,6,0
19808,720,Ferrari,3.0,5,5,0
19806,720,Lotus-BRM,0.0,8,8,0
19805,720,Lola,0.0,9,9,0
20070,709,Lotus-Climax,4.0,2,2,0
19825,721,De Tomaso,0.0,12,12,0
19824,721,BRP,3.0,6,6,0
19823,721,Cooper-Climax,10.0,3,3,0
19821,721,Porsche,1.0,7,7,0
19819,721,Lotus-Climax,19.0,1,1,2
19818,721,Lotus-BRM,0.0,8,8,0
19837,722,De Tomaso,0.0,12,12,0
19835,722,Cooper-Climax,16.0,2,2,0
19834,722,BRM,14.0,3,3,1
19832,722,Ferrari,7.0,5,5,0
19831,722,Lotus-Climax,28.0,1,1,3
19850,723,De Tomaso,0.0,13,13,0
19849,723,Gilby,0.0,12,12,0
19848,723,BRP,3.0,6,6,0
19847,723,Cooper-Climax,16.0,3,3,0
19845,723,Porsche,1.0,8,8,0
19844,723,Ferrari,13.0,5,5,0
19843,723,Lotus-Climax,37.0,1,1,4
19864,724,De Tomaso,0.0,13,13,0
19862,724,Gilby,0.0,12,12,0
19861,724,BRP,3.0,8,8,0
19859,724,BRM,22.0,2,2,1
19857,724,Ferrari,22.0,3,3,1
19856,724,Lotus-Climax,43.0,1,1,4
19881,725,De Tomaso,0.0,13,13,0
19880,725,Lotus-Borgward,0.0,15,15,0
19879,725,De Tomaso-Ferrari,0.0,16,16,0
19878,725,Lotus-Maserati,0.0,17,17,0
19877,725,Cooper-Maserati,0.0,14,14,0
19875,725,BRP,6.0,6,6,0
19873,725,BRM,28.0,2,2,1
19872,725,Porsche,4.0,7,7,0
20064,709,Ferrari,0.0,6,6,0
19899,726,De Tomaso,0.0,14,14,0
19897,726,De Tomaso-Ferrari,0.0,17,17,0
19895,726,Stebro,0.0,10,10,0
19894,726,Cooper-Maserati,0.0,15,15,0
19893,726,Gilby,0.0,13,13,0
19891,726,Cooper-Climax,21.0,4,4,0
19889,726,Porsche,5.0,7,7,0
19918,727,De Tomaso,0.0,14,14,0
19917,727,Lotus-Borgward,0.0,17,17,0
19915,727,Lotus-Maserati,0.0,19,19,0
19913,727,Stebro,0.0,10,10,0
19912,727,Cooper-Maserati,0.0,16,16,0
19911,727,Gilby,0.0,13,13,0
19910,727,BRP,6.0,6,6,0
19908,727,BRM,36.0,2,2,2
19516,729,Lola,0.0,7,7,0
19515,729,Emeryson,0.0,6,6,0
19514,729,Porsche,1.0,5,5,0
19513,729,Cooper-Climax,2.0,4,4,0
19512,729,Ferrari,4.0,3,3,0
19525,730,De Tomaso-Alfa Romeo,0.0,9,9,0
19524,730,Lotus-BRM,0.0,8,8,0
19523,730,Lola,3.0,5,5,0
19522,730,Emeryson,0.0,7,7,0
19520,730,Cooper-Climax,11.0,1,1,1
19519,730,Ferrari,10.0,3,3,0
19534,731,De Tomaso-Alfa Romeo,0.0,9,9,0
19533,731,Lotus-BRM,0.0,8,8,0
19532,731,Lola,5.0,5,5,0
19531,731,Emeryson,0.0,7,7,0
19530,731,Porsche,3.0,6,6,0
19528,731,Ferrari,14.0,3,3,0
19527,731,Lotus-Climax,15.0,2,2,1
20068,709,Scirocco,0.0,8,8,0
19810,720,BRM,12.0,1,1,1
19545,732,Team Lotus,0.0,10,10,0
19544,732,Cooper,0.0,7,7,0
19543,732,De Tomaso-Alfa Romeo,0.0,11,11,0
19542,732,Lotus-BRM,0.0,8,8,0
19541,732,Lola,7.0,6,6,0
19540,732,Emeryson,0.0,9,9,0
19804,720,Brabham,4.0,4,4,0
19557,733,Gilby,0.0,12,12,0
19556,733,Team Lotus,0.0,10,10,0
19555,733,Cooper,0.0,8,8,0
19554,733,De Tomaso-Alfa Romeo,0.0,11,11,0
19552,733,Lola,13.0,5,5,0
19551,733,Emeryson,0.0,7,7,0
19550,733,Porsche,12.0,6,6,1
19571,734,Brabham,0.0,12,12,0
19570,734,ENB,0.0,8,8,0
19569,734,Gilby,0.0,13,13,0
19568,734,Team Lotus,0.0,11,11,0
19564,734,Lola,19.0,4,4,0
19561,734,Cooper-Climax,23.0,3,3,1
19796,719,Lola,0.0,6,6,0
19797,719,Brabham,0.0,7,7,0
19588,735,Team Lotus,0.0,11,11,0
19587,735,De Tomaso-Osca,0.0,15,15,0
19586,735,De Tomaso,0.0,16,16,0
19583,735,Brabham,0.0,12,12,0
19582,735,Gilby,0.0,13,13,0
19581,735,Cooper,0.0,10,10,0
19577,735,Lotus-Climax,27.0,2,2,2
19605,736,Team Lotus,0.0,12,12,0
19604,736,De Tomaso-Osca,0.0,15,15,0
19603,736,De Tomaso,0.0,16,16,0
